Man. ID,Manufucturer Name,Turb. ID,Turbine Name,Power (kW) at wind speed (m/s),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,-,0,0.5,1,1.5,2,2.5,3,3.5,4,4.5,5,5.5,6,6.5,7,7.5,8,8.5,9,9.5,10,10.5,11,11.5,12,12.5,13,13.5,14,14.5,15,15.5,16,16.5,17,17.5,18,18.5,19,19.5,20,20.5,21,21.5,22,22.5,23,23.5,24,24.5,25,25.5,26,26.5,27,27.5,28,28.5,29,29.5,30,30.5,31,31.5,32,32.5,33,33.5,34,34.5,35,,
10,Siemens,79,SWT-3.6-120,0,0,0,0,0,0,0,78,161,254,351,492,635,831,1026,1285,1544,1874,2204,2560,2910,3215,3399,3510,3567,3585,3596,3598,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
10,Siemens,1374,SWT-3.6-130,0,0,0,0,0,20,43,112,184,301,421,599,778,1024,1269,1585,1901,2266,2630,2945,3261,3425,3534,3580,3593,3598,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
10,Siemens,957,SWT-4.0-130,0,0,0,0,0,80,193,300,479,705,916,1120,1329,1555,1788,2040,2300,2590,2872,3170,3453,3700,3869,3970,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
10,Siemens,807,SWT-6.0-154,0,0,0,0,0,0,0,100,220,320,440,575,721,945,1173,1485,1796,2157,2517,2940,3360,3930,4485,5160,5792,5960,6000,6000,6000,6000,6000,6000,6000,6000,6000,6000,6000,6000,6000,6000,6000,6000,6000,6000,6000,6000,6000,6000,6000,6000,6000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
14,Vestas,27,V52/850,0,0,0,0,0,0,5,15,30,49,67,97,127,162,197,244,290,350,410,475,539,600,660,710,751,784,816,840,850,850,850,850,850,850,850,850,850,850,850,850,850,850,850,850,850,850,850,850,850,850,850,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
14,Vestas,113,V60/850,0,0,0,0,0,0,10,18,33,58,86,122,160,210,262,330,398,483,568,652,732,802,836,844,847,849,850,850,850,850,850,850,850,850,850,850,850,850,850,850,850,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
14,Vestas,372,V66/1650,0,0,0,0,0,0,0,6,13,47,81,125,169,229,289,369,448,546,644,751,858,964,1069,1166,1263,1347,1431,1492,1552,1585,1617,1631,1642,1647,1649,1650,1650,1650,1650,1650,1650,1650,1650,1650,1650,1650,1650,1650,1650,1650,1650,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
14,Vestas,168,V66/1750,0,0,0,0,0,0,0,33,73,104,141,194,251,324,398,468,552,666,779,908,1037,1148,1259,1367,1474,1568,1661,1697,1716,1735,1745,1748,1750,1750,1750,1750,1750,1750,1750,1750,1750,1750,1750,1750,1750,1750,1750,1750,1750,1750,1750,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
14,Vestas,29,V80/1800,0,0,0,0,0,0,0,3,7,50,100,160,227,330,440,580,721,850,978,1120,1250,1390,1514,1600,1672,1719,1761,1781,1790,1795,1800,1800,1800,1800,1800,1800,1800,1800,1800,1800,1800,1800,1800,1800,1800,1800,1800,1800,1800,1800,1800,1800,1800,1800,1800,1800,1800,1800,1800,1800,1800,0,0,0,0,0,0,0,0,0,0,,
14,Vestas,30,V80/2000,0,0,0,0,0,0,0,35,70,117,165,225,285,372,459,580,701,832,964,1127,1289,1428,1567,1678,1788,1865,1941,1966,1990,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
14,Vestas,28,V82/1650,0,0,0,0,0,0,0,10,28,75,144,226,309,410,511,634,758,888,1017,1151,1285,1395,1504,1585,1637,1648,1650,1650,1650,1650,1650,1650,1650,1650,1650,1650,1650,1650,1650,1650,1650,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
14,Vestas,31,V90/1800,0,0,0,0,0,0,10,20,46,110,170,240,355,460,580,727,874,1047,1219,1382,1544,1642,1740,1775,1789,1795,1800,1800,1800,1800,1800,1800,1800,1800,1800,1800,1800,1800,1800,1800,1800,1800,1800,1800,1800,1800,1800,1800,1800,1800,1800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
14,Vestas,32,V90/2000,0,0,0,0,0,0,10,20,46,110,170,240,355,460,580,732,884,1065,1245,1428,1612,1756,1900,1940,1968,1980,1990,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
14,Vestas,33,V90/3000,0,0,0,0,0,0,0,38,77,133,190,271,353,467,581,733,886,1079,1272,1484,1696,1901,2106,2298,2489,2643,2797,2874,2951,2972,2993,2996,2999,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
143,Wobben,875,E40/500,0,0,0,0,0,1,4,11,19,30,40,53,69,88,112,135,165,197,237,279,328,362,396,435,465,483,496,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
143,Wobben,876,E40/600,0,0,0,0,0,1,2,8,15,28,41,60,80,108,136,172,208,251,295,350,405,457,508,540,571,589,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
